,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,HK_FUTURE.999011,2018-01-02 00:00:00,29915.0,30494.0,30500.0,29910.0,0.0,0.0,752,22821865.0,1.935483870967742,29914.0
1,HK_FUTURE.999011,2018-01-03 00:00:00,30499.0,30577.0,30702.0,30470.0,0.0,0.0,1074,32833609.0,0.2721846920705713,30494.0
2,HK_FUTURE.999011,2018-01-04 00:00:00,30603.0,30693.0,30750.0,30553.0,0.0,0.0,554,16968212.0,0.37937011479216404,30577.0
3,HK_FUTURE.999011,2018-01-05 00:00:00,30748.0,30726.0,30856.0,30660.0,0.0,0.0,717,18858875.0,0.10751637181116215,30693.0
4,HK_FUTURE.999011,2018-01-08 00:00:00,30799.0,30768.0,30885.0,30706.0,0.0,0.0,761,23425427.0,0.1366920523335286,30726.0
5,HK_FUTURE.999011,2018-01-09 00:00:00,30835.0,30955.0,31018.0,30680.0,0.0,0.0,1480,38072246.0,0.607774310972439,30768.0
6,HK_FUTURE.999011,2018-01-10 00:00:00,30955.0,31020.0,31220.0,30910.0,0.0,0.0,1638,50890834.0,0.20998223227265386,30955.0
7,HK_FUTURE.999011,2018-01-11 00:00:00,31038.0,31050.0,31079.0,30940.0,0.0,0.0,1791,55479228.0,0.09671179883945842,31020.0
8,HK_FUTURE.999011,2018-01-12 00:00:00,31028.0,31355.0,31355.0,31027.0,0.0,0.0,1551,47381206.0,0.9822866344605475,31050.0
9,HK_FUTURE.999011,2018-01-15 00:00:00,31357.0,31278.0,31676.0,31247.0,0.0,0.0,2951,92101979.0,-0.24557486844203474,31355.0
10,HK_FUTURE.999011,2018-01-16 00:00:00,31328.0,31881.0,31903.0,31300.0,0.0,0.0,3877,100848766.0,1.92787262612699,31278.0
11,HK_FUTURE.999011,2018-01-17 00:00:00,31865.0,31917.0,31968.0,31640.0,0.0,0.0,4092,118913439.0,0.11291992095605534,31881.0
12,HK_FUTURE.999011,2018-01-18 00:00:00,31920.0,32008.0,32160.0,31800.0,0.0,0.0,3447,93824422.0,0.2851145157752922,31917.0
13,HK_FUTURE.999011,2018-01-19 00:00:00,32023.0,32181.0,32201.0,31950.0,0.0,0.0,2723,87445251.0,0.5404898775306174,32008.0
14,HK_FUTURE.999011,2018-01-22 00:00:00,32210.0,32312.0,32338.0,31988.0,0.0,0.0,4190,118687688.0,0.4070724961934061,32181.0
15,HK_FUTURE.999011,2018-01-23 00:00:00,32296.0,32871.0,32887.0,32300.0,0.0,0.0,8518,265202091.0,1.7300074275810844,32312.0
16,HK_FUTURE.999011,2018-01-24 00:00:00,32869.0,32859.0,32962.0,32700.0,0.0,0.0,14465,429171504.0,-0.036506342977092265,32871.0
17,HK_FUTURE.999011,2018-01-25 00:00:00,32882.0,32642.0,33060.0,32583.0,0.0,0.0,52551,1139811357.0,-0.6603974557959768,32859.0
18,HK_FUTURE.999011,2018-01-26 00:00:00,32661.0,33127.0,33169.0,32578.0,0.0,0.0,85833,2243502335.0,1.4858158201090619,32642.0
19,HK_FUTURE.999011,2018-01-29 00:00:00,33130.0,32860.0,33484.0,32815.0,0.0,0.0,133983,4272756066.0,-0.8059890723578954,33127.0
20,HK_FUTURE.999011,2018-01-30 00:00:00,32860.0,32655.0,32972.0,32439.0,0.0,0.0,204554,6630938637.0,-0.623858794887401,32860.0
21,HK_FUTURE.999011,2018-01-31 00:00:00,32665.0,32848.0,32930.0,32300.0,0.0,0.0,1666,53687519.0,0.591027407747665,32655.0
22,HK_FUTURE.999011,2018-02-01 00:00:00,32861.0,32659.0,32993.0,32575.0,0.0,0.0,1527,48937078.0,-0.5753774963468096,32848.0
23,HK_FUTURE.999011,2018-02-02 00:00:00,32631.0,32514.0,32740.0,32275.0,0.0,0.0,1326,43159706.0,-0.44398175081906976,32659.0
24,HK_FUTURE.999011,2018-02-05 00:00:00,32502.0,32042.0,32502.0,31666.0,0.0,0.0,2419,77205873.0,-1.4516823522175064,32514.0
25,HK_FUTURE.999011,2018-02-06 00:00:00,32097.0,30701.0,32197.0,30488.0,0.0,0.0,2718,83470501.0,-4.185132014231321,32042.0
26,HK_FUTURE.999011,2018-02-07 00:00:00,30890.0,30180.0,31361.0,30066.0,0.0,0.0,3342,101731936.0,-1.6970131266082538,30701.0
27,HK_FUTURE.999011,2018-02-08 00:00:00,30200.0,30352.0,30790.0,30120.0,0.0,0.0,1909,58030088.0,0.5699138502319417,30180.0
28,HK_FUTURE.999011,2018-02-09 00:00:00,30401.0,29359.0,30401.0,29064.0,0.0,0.0,3300,92915970.0,-3.2716130732735897,30352.0
29,HK_FUTURE.999011,2018-02-12 00:00:00,29334.0,29410.0,29699.0,28990.0,0.0,0.0,1814,53187533.0,0.17371163867979156,29359.0
30,HK_FUTURE.999011,2018-02-13 00:00:00,29520.0,29690.0,30083.0,29403.0,0.0,0.0,3623,99135750.0,0.9520571234274057,29410.0
31,HK_FUTURE.999011,2018-02-14 00:00:00,29702.0,30304.0,30580.0,29518.0,0.0,0.0,4619,118570797.0,2.068036375884136,29690.0
32,HK_FUTURE.999011,2018-02-15 00:00:00,30305.0,30958.0,31028.0,29958.0,0.0,0.0,5725,135176881.0,2.158130939809926,30304.0
33,HK_FUTURE.999011,2018-02-20 00:00:00,31208.0,30740.0,31258.0,30607.0,0.0,0.0,6128,186115902.0,-0.7041798565798825,30958.0
34,HK_FUTURE.999011,2018-02-21 00:00:00,30691.0,31354.0,31375.0,30603.0,0.0,0.0,12473,301525356.0,1.9973975276512685,30740.0
35,HK_FUTURE.999011,2018-02-22 00:00:00,31298.0,30933.0,31500.0,30875.0,0.0,0.0,40621,824680203.0,-1.3427313899342987,31354.0
36,HK_FUTURE.999011,2018-02-23 00:00:00,30900.0,31168.0,31362.0,30900.0,0.0,0.0,82563,1946884749.0,0.7597064623541202,30933.0
37,HK_FUTURE.999011,2018-02-26 00:00:00,31163.0,31512.0,31546.0,31130.0,0.0,0.0,96953,2895843836.0,1.1036960985626283,31168.0
38,HK_FUTURE.999011,2018-02-27 00:00:00,31513.0,31410.0,31786.0,31102.0,0.0,0.0,157974,4924710008.0,-0.32368621477532367,31512.0
39,HK_FUTURE.999011,2018-02-28 00:00:00,31031.0,30744.0,31031.0,30692.0,0.0,0.0,875,27005687.0,-2.1203438395415475,31410.0
40,HK_FUTURE.999011,2018-03-01 00:00:00,30845.0,31026.0,31061.0,30367.0,0.0,0.0,1077,32762976.0,0.9172521467603435,30744.0
41,HK_FUTURE.999011,2018-03-02 00:00:00,30981.0,30562.0,31000.0,30430.0,0.0,0.0,1245,37990598.0,-1.4955198865467674,31026.0
42,HK_FUTURE.999011,2018-03-05 00:00:00,30469.0,29923.0,30649.0,29800.0,0.0,0.0,1232,37160423.0,-2.0908317518487007,30562.0
43,HK_FUTURE.999011,2018-03-06 00:00:00,30050.0,30484.0,30580.0,29850.0,0.0,0.0,751,22786304.0,1.874812017511613,29923.0
44,HK_FUTURE.999011,2018-03-07 00:00:00,30500.0,30210.0,30648.0,30075.0,0.0,0.0,372,11280066.0,-0.8988321742553471,30484.0
45,HK_FUTURE.999011,2018-03-08 00:00:00,30158.0,30660.0,30739.0,30180.0,0.0,0.0,1087,27108952.0,1.4895729890764648,30210.0
46,HK_FUTURE.999011,2018-03-09 00:00:00,30699.0,30999.0,31040.0,30627.0,0.0,0.0,1920,59432078.0,1.1056751467710373,30660.0
