,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,HK_FUTURE.999010,2018-01-02 00:00:00,29955.0,30532.0,30566.0,29941.0,0.0,0.0,122833,3700314211.0,1.9262226673343346,29948.0
1,HK_FUTURE.999010,2018-01-03 00:00:00,30517.0,30615.0,30750.0,30493.0,0.0,0.0,142553,4338270249.0,0.27184593213677455,30532.0
2,HK_FUTURE.999010,2018-01-04 00:00:00,30616.0,30748.0,30795.0,30591.0,0.0,0.0,132472,4046318218.0,0.43442756818552997,30615.0
3,HK_FUTURE.999010,2018-01-05 00:00:00,30741.0,30764.0,30912.0,30693.0,0.0,0.0,120994,3697487777.0,0.05203590477429426,30748.0
4,HK_FUTURE.999010,2018-01-08 00:00:00,30771.0,30836.0,30950.0,30732.0,0.0,0.0,131331,4028133432.0,0.23403978676374984,30764.0
5,HK_FUTURE.999010,2018-01-09 00:00:00,30838.0,30985.0,31058.0,30711.0,0.0,0.0,135742,4144209789.0,0.4832014528473213,30836.0
6,HK_FUTURE.999010,2018-01-10 00:00:00,30997.0,31072.0,31300.0,30944.0,0.0,0.0,166528,5118194386.0,0.28078102307568176,30985.0
7,HK_FUTURE.999010,2018-01-11 00:00:00,31073.0,31094.0,31143.0,30981.0,0.0,0.0,132727,4095901965.0,0.07080329557157569,31072.0
8,HK_FUTURE.999010,2018-01-12 00:00:00,31093.0,31407.0,31409.0,31072.0,0.0,0.0,141713,4412218574.0,1.0066250723612273,31094.0
9,HK_FUTURE.999010,2018-01-15 00:00:00,31417.0,31320.0,31721.0,31278.0,0.0,0.0,181666,5695599527.0,-0.2770083102493075,31407.0
10,HK_FUTURE.999010,2018-01-16 00:00:00,31320.0,31908.0,31958.0,31304.0,0.0,0.0,188493,5928495128.0,1.8773946360153257,31320.0
11,HK_FUTURE.999010,2018-01-17 00:00:00,31910.0,31955.0,32015.0,31673.0,0.0,0.0,196763,6185923687.0,0.1472984831390247,31908.0
12,HK_FUTURE.999010,2018-01-18 00:00:00,31961.0,32061.0,32202.0,31837.0,0.0,0.0,209778,6665369132.0,0.33171647629478956,31955.0
13,HK_FUTURE.999010,2018-01-19 00:00:00,32075.0,32235.0,32248.0,31983.0,0.0,0.0,158946,5050690298.0,0.5427154486759614,32061.0
14,HK_FUTURE.999010,2018-01-22 00:00:00,32243.0,32349.0,32381.0,32011.0,0.0,0.0,167636,5348410020.0,0.35365286179618427,32235.0
15,HK_FUTURE.999010,2018-01-23 00:00:00,32346.0,32911.0,32930.0,32332.0,0.0,0.0,219289,7076821224.0,1.737302544128103,32349.0
16,HK_FUTURE.999010,2018-01-24 00:00:00,32906.0,32897.0,32998.0,32728.0,0.0,0.0,209898,6738782663.0,-0.04253896873385798,32911.0
17,HK_FUTURE.999010,2018-01-25 00:00:00,32903.0,32680.0,33096.0,32620.0,0.0,0.0,269150,8263982052.0,-0.6596346171383408,32897.0
18,HK_FUTURE.999010,2018-01-26 00:00:00,32699.0,33154.0,33203.0,32612.0,0.0,0.0,263808,8075121666.0,1.4504283965728275,32680.0
